,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0.5,1,1,1,1,1,0.412783751493428,0.915173237753883,1,0.583333333333334,,,,
01/15/2022,,,,0.583333333333334,1,1,1,0.969534050179212,0.77479091995221,0.459080047789726,0.895161290322581,1,0.833333333333337,,,,
02/01/2022,,,,0.75,1,1,0.982676224611708,0.903225806451614,0.464456391875747,0.0824372759856632,0.744623655913978,1,1,0.166666666666666,,,
02/15/2022,,,0.0833333333333331,1,1,1,0.892174432497013,0.479689366786141,0.108124253285544,0,0.609617682198328,1,1,0.5,,,
03/01/2022,,,0.416666666666668,1,1,1,0.735961768219833,0.318996415770609,0.0316606929510155,0.00776583034647551,0.701015531660695,1,1,0.75,,,
03/15/2022,,,0.75,1,1,0.959677419354839,0.540919952210275,0.186081242532855,0.0017921146953405,0.0188172043010753,0.790919952210275,1,1,1,,,
04/01/2022,,0.25,1,0.99820788530466,0.862007168458781,0.709677419354839,0.347670250896057,0.0618279569892473,0,0.0567502986857827,0.93727598566308,1,1,1,0.333333333333332,,
04/15/2022,,0.583333333333334,1,0.937574671445639,0.609916367980884,0.510454002389486,0.229988052568698,0.0158303464755078,0,0.257168458781362,1,1,1,1,0.583333333333334,,
05/01/2022,,1,1,0.793309438470729,0.430406212664277,0.3915770609319,0.650238948626045,0.867084826762246,0.999701314217443,0.973416965352449,1,1,1,1,0.833333333333337,,
05/15/2022,0.25,1,1,0.741636798088411,0.333333333333333,0.264038231780167,0.560931899641577,0.908900836320191,0.995519713261649,0.983572281959379,1,1,1,1,1,0.0833333333333331,
06/01/2022,0.416666666666668,1,1,0.657407407407407,0.264934289127838,0.160991636798088,0.42562724014337,0.924133811230585,0.992831541218638,0.986857825567503,1,1,1,1,1,0.333333333333332,
06/15/2022,0.5,1,1,0.66726403823178,0.253584229390681,0.129330943847073,0.347072879330944,0.897252090800478,0.990143369175627,0.977598566308244,1,1,1,1,1,0.416666666666668,
07/01/2022,0.416666666666668,1,1,0.709976105137396,0.265232974910394,0.137395459976105,0.324372759856631,0.891278375149344,0.994623655913978,0.973118279569892,1,1,1,1,1,0.5,
07/15/2022,0.25,1,1,0.78494623655914,0.313321385902031,0.173536439665472,0.384408602150537,0.876045400238948,0.997610513739546,0.979091995221028,1,1,1,1,1,0.416666666666668,
08/01/2022,,1,1,0.826463560334528,0.391875746714456,0.280465949820789,0.537933094384707,0.855436081242534,1,0.979091995221028,1,1,1,1,1,0.166666666666666,
08/15/2022,,0.75,1,0.860513739545998,0.48805256869773,0.432198327359618,0.649940262843489,0.824372759856631,0.995519713261648,0.971624850657109,1,1,1,1,0.833333333333337,,
09/01/2022,,0.5,1,0.967443249701314,0.683094384707288,0.642771804062127,0.755973715651135,0.803464755077658,0.985961768219833,0.956690561529271,1,1,1,1,0.416666666666668,,
09/15/2022,,0.25,1,0.998506571087216,0.921744324970131,0.82347670250896,0.832735961768221,0.797192353643966,0.967741935483871,0.940561529271207,1,1,1,1,0.0833333333333331,,
10/01/2022,,,1,1,1,0.983572281959379,0.886798088410991,0.82258064516129,0.947729988052568,0.962962962962963,1,1,1,0.583333333333334,,,
10/15/2022,,,0.75,1,1,0.98715651135006,0.891278375149343,0.859916367980884,0.922939068100358,0.953405017921147,1,1,1,0.25,,,
11/01/2022,,,0.416666666666668,1,1,0.999402628434887,0.758960573476703,0.335424133811231,0.0200119474313023,0.0570489844683395,1,1,0.833333333333337,,,,
11/15/2022,,,0.166666666666666,1,1,1,1,0.657108721624851,0.583034647550777,0.40621266427718,1,1,0.583333333333334,,,,
12/01/2022,,,,0.833333333333337,1,1,1,0.918160095579452,0.829151732377539,0.428614097968937,0.994026284348866,1,0.416666666666668,,,,
12/15/2022,,,,0.666666666666665,1,1,1,1,0.977598566308243,0.400836320191159,0.97311827956989,1,0.416666666666668,,,,
